index,Activos Sin Vencido,Clientes Z,Clientes Generados,Nunca +15,Nunca 0-15,Quebrantados,Saldados +15,Saldados 0-15,Sin Datos,Vencidos +4,Vencidos 1,Vencidos 2,Vencidos 3,Total General,Total Clientes
Activos Sin Vencido,,,,,,,,,,,,,,,
jul-17,1,353,0,0,0,0,0,1,0,0,0,0,0,355," 13,553,772 "
ago-17,1,352,0,0,0,0,0,1,0,0,0,0,0,355," 13,834,905 "
sep-17,1,352,0,0,0,0,0,1,0,0,0,0,0,355," 13,985,174 "
oct-17,1,352,0,0,0,0,0,1,0,0,0,0,0,355," 14,118,999 "
nov-17,1,352,0,0,0,0,0,1,0,0,0,0,0,355," 14,265,283 "
dic-17,1,351,0,0,0,0,0,1,0,0,0,0,0,355," 14,425,988 "
ene-18,0,382,0,0,0,0,0,0,0,0,0,0,0,382," 14,576,282 "
feb-18,0,382,0,0,0,0,0,0,0,0,0,0,0,382," 14,705,150 "
mar-18,0,381,0,0,0,0,0,1,0,0,0,0,0,382," 14,842,970 "
abr-18,0,381,0,0,0,0,0,1,0,0,0,0,0,382," 14,981,218 "
may-18,1,380,0,0,0,0,0,1,0,0,0,0,0,382," 15,103,586 "
jun-18,1,380,0,0,0,0,0,1,0,0,0,0,0,382," 15,223,046 "
jul-18,1,380,0,0,0,0,0,1,0,0,0,0,0,382," 15,355,724 "
ago-18,1,380,0,0,0,0,0,1,0,0,0,0,0,382," 15,592,445 "
sep-18,1,379,0,0,0,0,0,1,0,0,0,0,0,382," 15,717,017 "
oct-18,1,379,0,0,0,0,0,1,0,0,0,0,0,382," 15,829,745 "
nov-18,1,379,0,0,0,0,0,1,0,0,0,0,0,382," 15,944,533 "
dic-18,1,378,0,0,0,0,0,2,0,0,0,0,0,382," 16,076,116 "
ene-19,0,399,0,0,0,0,0,0,0,0,0,0,0,399," 16,196,454 "
feb-19,0,398,0,0,0,0,0,0,0,0,0,0,0,399," 16,301,091 "
mar-19,0,398,0,0,0,0,0,1,0,0,0,0,0,399," 16,411,226 "
abr-19,0,398,0,0,0,0,0,1,0,0,0,0,0,399," 16,523,926 "
may-19,0,397,0,0,0,0,0,1,0,0,0,0,0,399," 16,627,782 "
jun-19,0,397,0,0,0,0,0,1,0,0,0,0,0,399," 16,730,371 "
jul-19,1,397,0,0,0,0,0,1,0,0,0,0,0,399," 16,836,544 "
ago-19,1,396,0,0,0,0,0,1,0,0,0,0,0,399," 17,041,598 "
sep-19,1,396,0,0,0,0,0,1,0,0,0,0,0,399," 17,156,218 "
oct-19,1,396,0,0,0,0,0,1,0,0,0,0,0,399," 17,260,139 "
nov-19,1,396,0,0,0,0,0,2,0,0,0,0,0,399," 17,377,602 "
dic-19,1,395,0,0,0,0,0,2,0,0,0,0,0,399," 17,503,969 "
ene-20,0,406,0,0,0,0,0,0,0,0,0,0,0,406," 17,631,124 "
